,Nat,Skater,JGP,CS,GP,Ch,WD,MeanEventTotal,nmean,MeanEventBV,nBV,MeanEventTES,nTES,MeanEventPCS,nPCS,MeanJump,nJump,MeanSpin,nSpin,MeanStep Seq,nstepseq,MeanChor Seq,nchorseq,MeanSS,nSS,MeanTR,NTR,MeanPE,nPE,MeanCO,nCO,MeanIN,nIN
54,🇨🇳,Yi Zhu,0,0,1,0,0,171.25,1,79.86,1,87.38,1,84.87,1,5.22,10,3.81,6,4.32,2,3.64,1,7.23,2,6.8,2,7.09,2,7.1,2,7.02,2
55,🇰🇷,Seoyeong Wi,0,0,1,0,0,170.54,1,89.11,1,88.22,1,84.32,1,5.58,10,3.45,6,4.09,2,3.5,1,7.22,2,6.9,2,6.98,2,7.25,2,6.95,2
56,🇺🇸,Kate Wang,2,0,0,0,0,170.33,2,85.57,2,93.74,2,76.58,2,6.67,20,3.19,12,3.93,4,Null,0,6.52,4,6.22,4,6.46,4,6.45,4,6.39,4
57,🇧🇾,Varvara Kisel,2,0,0,0,0,170.19,2,86.06,2,92.9,2,78.3,2,6.42,20,3.6,12,3.53,4,Null,0,6.71,4,6.25,4,6.58,4,6.49,4,6.57,4
58,🇺🇦,Anastasiia Shabotova,1,3,0,0,0,169,4,88.38,4,89.24,4,80.76,4,5.84,40,3.38,24,4.01,8,3.48,3,6.86,8,6.48,8,6.68,8,6.74,8,6.73,8
59,🇨🇾,Marilena Kitromilis,0,3,0,0,0,168.26,3,83.67,3,88.24,3,81.69,3,5.73,33,3,21,3.32,7,3.93,3,6.61,6,6.37,6,6.63,6,6.63,6,6.58,6
60,🇰🇷,Heesue Han,1,0,0,0,0,168.25,1,81.73,1,89.77,1,79.48,1,5.92,10,3.73,6,4.1,2,Null,0,6.77,2,6.44,2,6.69,2,6.66,2,6.64,2
61,🇺🇸,Gabriella Izzo,0,2,0,1,0,167.93,3,76.77,3,82.23,3,86.7,3,4.64,30,4,18,3.74,6,4.3,3,7.24,6,7.01,6,7.2,6,7.28,6,7.31,6
62,🇳🇱,Lindsay Van Zundert,0,2,0,0,0,167.38,2,86.32,2,89.24,2,80.64,2,5.37,23,3.67,15,3.81,5,3.18,2,6.55,4,6.33,4,6.61,4,6.68,4,6.62,4
63,🇪🇪,Eva Lotta Kiibus,0,3,1,1,0,167.14,5,79.15,5,83.11,5,85.03,5,5.05,50,3.4,30,4.2,10,3.79,5,7.02,10,6.81,10,7.02,10,7.2,10,7.23,10
64,🇺🇸,Starr Andrews,0,2,1,1,0,165.81,4,78.34,4,80.94,4,85.87,4,4.67,40,3.75,24,3.91,8,3.9,4,7.24,8,7.08,8,7.16,8,7.33,8,7.29,8
65,🇨🇦,Gabrielle Daleman,0,2,0,1,0,165.41,3,81.12,3,80.11,3,86.64,3,4.54,30,3.79,18,3.81,6,4.4,3,7.37,6,7,6,7.08,6,7.36,6,7.31,6
66,🇫🇮,Emmi Peltonen,0,2,0,0,0,165.08,2,69.92,2,73.46,2,91.62,2,4.53,20,2.64,12,4,4,4.3,2,7.59,4,7.35,4,7.5,4,7.7,4,7.85,4
67,🇫🇮,Jenni Saarinen,0,2,0,1,0,164.63,3,72.67,3,77.56,3,89.4,3,4.46,30,3.37,18,4.42,6,3.92,3,7.48,6,7.39,6,7.38,6,7.62,6,7.66,6
68,🇰🇷,Ahsun Yun,2,0,0,0,0,163.74,2,80.48,2,88.95,2,75.79,2,6.03,20,3.45,12,3.97,4,Null,0,6.48,4,6.09,4,6.23,4,6.3,4,6.2,4
69,🇮🇹,Lara Naki Gutmann,0,2,1,1,0,163.54,4,78.58,4,81.89,4,82.14,4,4.97,40,3.45,24,3.77,8,4,4,6.86,8,6.7,8,6.76,8,6.98,8,6.86,8
70,🇦🇹,Olga Mikutina,0,0,1,1,0,162.55,2,76.14,2,77.76,2,86.3,2,4.29,20,3.79,12,4.12,4,3.9,2,7.2,4,7.1,4,7.13,4,7.32,4,7.27,4
71,🇦🇺,Kailani Craine,0,3,0,1,0,162.4,4,81.38,4,81.29,4,81.11,4,5.11,40,3.47,24,3.14,8,3.12,4,6.82,8,6.46,8,6.86,8,6.86,8,6.92,8
72,🇨🇭,Yasmine Kimiko Yamada,0,1,0,1,0,162.28,2,80.73,2,84.38,2,78.91,2,5.48,20,3.05,12,3.76,4,3.78,2,6.64,4,6.28,4,6.62,4,6.6,4,6.6,4
73,🇫🇷,Léa Serna,0,2,1,1,0,161.13,4,81.18,4,81.8,4,80.83,4,4.7,40,3.77,24,4.15,8,3.86,4,6.86,8,6.48,8,6.69,8,6.81,8,6.79,8
74,🇸🇪,Josefin Taljegård,0,3,0,1,0,159.48,4,72.84,4,76.31,4,83.42,4,4.08,40,3.65,24,4.62,8,4.4,4,6.76,8,6.66,8,7.06,8,7.09,8,7.24,8
75,🇺🇸,Hanna Harrell,0,1,0,0,0,158.89,1,75.08,1,76.21,1,82.68,1,4.58,10,3.24,6,3.4,2,4.2,1,6.82,2,6.62,2,6.85,2,7,2,7.05,2
76,🇬🇧,Natasha Mckay,0,3,0,1,0,157.52,4,73.52,4,77.8,4,81.22,4,4.46,40,3.44,24,4.31,8,3.88,4,6.66,8,6.5,8,6.76,8,6.79,8,6.98,8
